4320, 1000, 0, 0, 913.592, 428.746, 0.588077, 57.3597, 112.993, 190.416, 22.3508, 13.3847, 493.519, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18592, 0.144145, 16.6054, 16.6054, 16.4612, 16.3372, 3.3109, 16.6054, 16.6054, 13.2945
4400, 1000, 0, 0, 914.26, 428.902, 0.580834, 57.3767, 113.008, 189.955, 22.0215, 13.3945, 493.881, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18483, 0.144041, 16.6054, 16.6054, 16.4613, 16.3251, 3.30896, 16.6054, 16.6054, 13.2964
4480, 1000, 0, 0, 914.866, 429.044, 0.574219, 57.3923, 113.022, 189.525, 21.7208, 13.4034, 494.211, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18385, 0.143946, 16.6054, 16.6054, 16.4614, 16.3141, 3.3072, 16.6054, 16.6054, 13.2982
4560, 1000, 0, 0, 915.417, 429.172, 0.568179, 57.4063, 113.034, 189.124, 21.4463, 13.4115, 494.511, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18295, 0.14386, 16.6054, 16.6054, 16.4615, 16.3042, 3.3056, 16.6054, 16.6054, 13.2998
4640, 1000, 0, 0, 915.918, 429.289, 0.562665, 57.4192, 113.045, 188.749, 21.1957, 13.4188, 494.783, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18214, 0.143782, 16.6054, 16.6054, 16.4616, 16.2951, 3.30414, 16.6054, 16.6054, 13.3012
4720, 1000, 0, 0, 916.373, 429.394, 0.557633, 57.4308, 113.056, 188.401, 20.9668, 13.4255, 495.031, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18141, 0.143712, 16.6054, 16.6054, 16.4617, 16.2869, 3.30282, 16.6054, 16.6054, 13.3026
4800, 1000, 0, 0, 916.786, 429.491, 0.553042, 57.4414, 113.065, 188.076, 20.758, 13.4316, 495.255, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18074, 0.143647, 16.6054, 16.6054, 16.4617, 16.2795, 3.30163, 16.6054, 16.6054, 13.3038
4880, 1000, 0, 0, 917.161, 429.578, 0.548854, 57.451, 113.074, 187.774, 20.5673, 13.4371, 495.46, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.18013, 0.143589, 16.6054, 16.6054, 16.4618, 16.2727, 3.30054, 16.6054, 16.6054, 13.3049
4960, 1000, 0, 0, 917.502, 429.657, 0.545033, 57.4597, 113.081, 187.493, 20.3932, 13.4421, 495.646, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17959, 0.143536, 16.6054, 16.6054, 16.4619, 16.2666, 3.29955, 16.6054, 16.6054, 13.3058
5040, 1000, 0, 0, 917.812, 429.73, 0.54155, 57.4676, 113.088, 187.232, 20.2343, 13.4467, 495.815, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17909, 0.143488, 16.6054, 16.6054, 16.4619, 16.261, 3.29865, 16.6054, 16.6054, 13.3067
5120, 1000, 0, 0, 918.094, 429.795, 0.538373, 57.4749, 113.095, 186.989, 20.0892, 13.4508, 495.968, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17863, 0.143445, 16.6054, 16.6054, 16.4619, 16.2559, 3.29784, 16.6054, 16.6054, 13.3076
5200, 1000, 0, 0, 918.349, 429.855, 0.535478, 57.4814, 113.1, 186.763, 19.9568, 13.4546, 496.108, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17822, 0.143405, 16.6054, 16.6054, 16.462, 16.2513, 3.2971, 16.6054, 16.6054, 13.3083
5280, 1000, 0, 0, 918.582, 429.909, 0.532839, 57.4874, 113.106, 186.554, 19.8359, 13.458, 496.235, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17785, 0.143369, 16.6054, 16.6054, 16.462, 16.2471, 3.29642, 16.6054, 16.6054, 13.309
5360, 1000, 0, 0, 918.793, 429.958, 0.530434, 57.4928, 113.111, 186.36, 19.7256, 13.4611, 496.35, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17751, 0.143336, 16.6054, 16.6054, 16.4621, 16.2433, 3.29581, 16.6054, 16.6054, 13.3096
5440, 1000, 0, 0, 918.985, 430.002, 0.528241, 57.4977, 113.115, 186.18, 19.6249, 13.464, 496.455, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17721, 0.143307, 16.6054, 16.6054, 16.4621, 16.2399, 3.29525, 16.6054, 16.6054, 13.3101
5520, 1000, 0, 0, 919.159, 430.043, 0.526244, 57.5022, 113.119, 186.013, 19.533, 13.4665, 496.55, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17693, 0.14328, 16.6054, 16.6054, 16.4621, 16.2367, 3.29475, 16.6054, 16.6054, 13.3106
5600, 1000, 0, 0, 919.317, 430.08, 0.524425, 57.5062, 113.122, 185.859, 19.4491, 13.4689, 496.636, 50, 272.667, 16.6054, 16.6054, 16.6054, 272.667, 16.6054, 16.6054, 16.6054, 1.17667, 0.143255, 16.6054, 16.6054, 16.4621, 16.2339, 3.29429, 16.6054, 16.6054, 13.3111
